etime;mysql_17_threads;mysql_17_conns;localhost_processload_mysql_26;mysql_17_vmswap;mysql_19_questions;mysql_17_vmsize;mysql_19_processes;mysql_17_vmdata;mysql_17_vmstk;mysql_17_vmrss
1286855700; 1.6996666667e+01; 0.0000000000e+00; 3.1854265047e-01; 4.0724078592e+08; 5.7227080301e+00; 7.6417024000e+08; 7.9966666667e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5692945408e+08
1286856000; 1.7000000000e+01; 0.0000000000e+00; 3.6424441753e-01; 4.0721629184e+08; 5.5197891828e+00; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5695394816e+08
1286856300; 1.7996666667e+01; 0.0000000000e+00; 8.0519293943e-01; 4.0720796331e+08; 1.7865372427e+01; 7.6417024000e+08; 8.9966666667e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5696227669e+08
1286856600; 1.8000000000e+01; 0.0000000000e+00; 1.0824111111e+00; 4.0755085312e+08; 9.6110777778e+00; 7.6417024000e+08; 9.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5661938688e+08
1286856900; 1.8996666667e+01; 0.0000000000e+00; 1.8740222222e+00; 4.0752342357e+08; 8.6497888889e+00; 7.6417024000e+08; 9.9966666667e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5664681643e+08
1286857200; 1.9000000000e+01; 0.0000000000e+00; 4.1684248800e-01; 4.0752332800e+08; 6.0187557770e+00; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5664691200e+08
1286857500; 1.9000000000e+01; 0.0000000000e+00; 6.0073971192e-01; 4.0752332800e+08; 5.1595536247e+00; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5664691200e+08
1286857800; 1.9000000000e+01; 0.0000000000e+00; 4.8705113341e-01; 4.0752332800e+08; 9.5320239316e+00; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5664691200e+08
1286858100; 1.9000000000e+01; 0.0000000000e+00; 8.9530000000e-01; 4.0752332800e+08; 1.2656266667e+01; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5664691200e+08
1286858400; 1.9000000000e+01; 0.0000000000e+00; 2.9866666667e-01; 4.0752332800e+08; 5.2448222222e+00; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5664691200e+08
1286858700; 1.9000000000e+01; 0.0000000000e+00; 3.2324444444e-01; 4.0752332800e+08; 6.5422444444e+00; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5664691200e+08
1286859000; 1.9000000000e+01; 0.0000000000e+00; 3.0143333333e+00; 4.0757231616e+08; 1.0535287778e+02; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5659792384e+08
1286859300; 1.9000000000e+01; 0.0000000000e+00; 5.6821111111e-01; 4.0758064469e+08; 6.5548666667e+00; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5658959531e+08
1286859600; 1.9000000000e+01; 0.0000000000e+00; 2.5201111111e+00; 4.0758067200e+08; 4.9276666667e+00; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5658956800e+08
1286859900; 1.9000000000e+01; 0.0000000000e+00; 4.4602000000e+00; 4.0758067200e+08; 3.3517700000e+01; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5658956800e+08
1286860200; 1.9000000000e+01; 0.0000000000e+00; 4.6460666667e+00; 4.0756842496e+08; 1.7161688889e+01; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5660181504e+08
1286860500; 1.9000000000e+01; 0.0000000000e+00; 8.1614444444e-01; 4.0758063104e+08; 6.9838555556e+00; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5658960896e+08
1286860800; 1.9000000000e+01; 0.0000000000e+00; 6.3780222222e+00; 4.0756434261e+08; 1.2238977778e+01; 7.6417024000e+08; 1.0000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5660589739e+08
1286861100; 1.9996666667e+01; 0.0000000000e+00; 4.0478555556e+00; 4.0755612331e+08; 1.9509077778e+01; 7.6417024000e+08; 1.0996666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5661411669e+08
1286861400; 2.0000000000e+01; 0.0000000000e+00; 2.9868555556e+00; 4.0754384896e+08; 1.7138011111e+01; 7.6417024000e+08; 1.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5662639104e+08
1286861700; 2.0000000000e+01; 0.0000000000e+00; 1.6145777778e+00; 4.0755605504e+08; 1.4415744444e+01; 7.6417024000e+08; 1.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5661418496e+08
1286862000; 2.0000000000e+01; 0.0000000000e+00; 1.7536723145e+00; 4.0755201365e+08; 1.6074157327e+01; 7.6417024000e+08; 1.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5661822635e+08
1286862300; 2.0000000000e+01; 0.0000000000e+00; 2.0382272396e+00; 4.0755200000e+08; 4.0372081171e+01; 7.6417024000e+08; 1.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5661824000e+08
1286862600; 2.0000000000e+01; 0.0000000000e+00; 4.8140560015e+00; 4.0754791765e+08; 5.3247483724e+01; 7.6417024000e+08; 1.1000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5662232235e+08
1286862900; 2.0996666667e+01; 0.0000000000e+00; 4.1954333333e+00; 4.0753157461e+08; 4.7379766667e+01; 7.6417024000e+08; 1.1996666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5663866539e+08
1286863200; 2.1000000000e+01; 0.0000000000e+00; 4.7348555556e+00; 4.0753560235e+08; 4.1901588889e+01; 7.6417024000e+08; 1.2000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5663463765e+08
1286863500; 2.1000000000e+01; 0.0000000000e+00; 3.1253888889e+00; 4.0754378069e+08; 2.7820366667e+01; 7.6417024000e+08; 1.2000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5662645931e+08
1286863800; 2.1000000000e+01; 0.0000000000e+00; 4.5618444444e+00; 4.0754380800e+08; 3.5494177778e+01; 7.6417024000e+08; 1.2000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5662643200e+08
1286864100; 2.1000000000e+01; 0.0000000000e+00; 4.9354333333e+00; 4.0753156096e+08; 7.8762044444e+01; 7.6417024000e+08; 1.2000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5663867904e+08
1286864400; 2.1996666667e+01; 0.0000000000e+00; 5.2646836840e+00; 4.0752743765e+08; 4.2695857217e+01; 7.6417024000e+08; 1.2996666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5664280235e+08
1286864700; 2.1006666667e+01; 0.0000000000e+00; 8.3605009685e+00; 4.0747453099e+08; 4.7468826098e+01; 7.6417024000e+08; 1.2006666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5669570901e+08
1286865000; 2.3990000000e+01; 0.0000000000e+00; 9.0477709030e+00; 4.0798855168e+08; 4.7303994463e+01; 7.6417024000e+08; 1.4990000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5618168832e+08
1286865300; 2.4000000000e+01; 0.0000000000e+00; 1.1495155556e+01; 4.0823521280e+08; 9.3658300000e+01; 7.6417024000e+08; 1.5000000000e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5593502720e+08
1286865600; 2.4996666667e+01; 0.0000000000e+00; 1.5313922222e+01; 4.0834217301e+08; 1.2520833333e+02; 7.6417024000e+08; 1.5996666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5582806699e+08
1286865900; 2.6993333333e+01; 0.0000000000e+00; 2.2728577778e+01; 4.0836702208e+08; 1.1481511111e+02; 7.6417024000e+08; 1.7993333333e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5580321792e+08
1286866200; 2.7996666667e+01; 0.0000000000e+00; 7.7246816537e+00; 4.0835077461e+08; 7.6682234551e+01; 7.6417024000e+08; 1.8996666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5581946539e+08
1286866500; 2.7006666667e+01; 0.0000000000e+00; 8.2636042623e+00; 4.0835478869e+08; 8.4651346496e+01; 7.6417024000e+08; 1.8006666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5581545131e+08
1286866800; 2.7996666667e+01; 0.0000000000e+00; 1.6689441142e+01; 4.0835073365e+08; 8.4985774212e+01; 7.6417024000e+08; 1.8996666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5581950635e+08
1286867100; 2.8993333333e+01; 0.0000000000e+00; 1.1280636896e+01; 4.0832630784e+08; 9.8285329467e+01; 7.6417024000e+08; 1.9993333333e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5584393216e+08
1286867400; 2.9996666667e+01; 0.0000000000e+00; 1.7190113824e+01; 4.0828532053e+08; 1.7642894861e+02; 7.6417024000e+08; 2.0996666667e+01; 7.3044377600e+08; 8.6016000000e+04; 3.5588491947e+08
1286867700; 3.4983333333e+01; 0.0000000000e+00; 2.1033877778e+01; 4.0822803115e+08; 1.5974666667e+02; 7.6858733909e+08; 2.5983333333e+01; 7.3486087509e+08; 8.6016000000e+04; 3.6035930795e+08
1286868000; 3.2010000000e+01; 0.0000000000e+00; 1.1212292876e+01; 4.0779511125e+08; 1.1901643068e+02; 7.6860211200e+08; 2.3010000000e+01; 7.3487564800e+08; 8.6016000000e+04; 3.6080700075e+08
1286868300; 3.2000000000e+01; 0.0000000000e+00; 1.4021062234e+01; 4.0818832725e+08; 1.1520194513e+02; 7.6860211200e+08; 2.3000000000e+01; 7.3487564800e+08; 8.6016000000e+04; 3.6041378475e+08
1286868600; 3.3993333333e+01; 0.0000000000e+00; 2.4614633779e+01; 4.0695810731e+08; 1.2877452419e+02; 7.6860211200e+08; 2.4993333333e+01; 7.3487564800e+08; 8.6016000000e+04; 3.6164400469e+08
1286868900; 3.3003333333e+01; 0.0000000000e+00; 3.0460566667e+01; 4.0697439573e+08; 2.0180590000e+02; 7.6860211200e+08; 2.4003333333e+01; 7.3487564800e+08; 8.6016000000e+04; 3.6162771627e+08
1286869200; 3.3000000000e+01; 0.0000000000e+00; 5.2243877778e+01; 4.0695405227e+08; 1.6127968889e+02; 7.6860211200e+08; 2.4000000000e+01; 7.3487564800e+08; 8.6016000000e+04; 3.6164805973e+08
