etime;sla2;ews_hits_20_wiki;ews2usage_23_NumberOfGroups;sla1;ews2usage_23_numberOflectures;ews_hits_20_phpbb;ews_hits_20_webdav;ews2usage_23_numberOfUsers;ews_hits_20_ews2;ews2usage_23_login5minutes
1286851200; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.6777777778e-03; 4.7118000000e+04; 1.3322222222e-02; 0.0000000000e+00
1286851500; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.6445921004e-03; 4.7118000000e+04; 1.3289184201e-02; 0.0000000000e+00
1286851800; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 4.3232702586e-02; 4.7118000000e+04; 2.0021703945e-02; 0.0000000000e+00
1286852100; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.7893719807e-03; 4.7118000000e+04; 6.7113340766e-03; 0.0000000000e+00
1286852400; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 9.9888888889e-03; 4.7118000000e+04; 9.9888888889e-03; 0.0000000000e+00
1286852700; 0; 3.3222222222e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222222222e-03; 1.3322222222e-02; 4.7118000000e+04; 2.2926666667e-01; 9.9666666667e-01
1286853000; 0; 3.3333333333e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3333333333e-03; 1.6655555556e-02; 4.7118000000e+04; 1.1040000000e-01; 1.0000000000e+00
1286853300; 0; 3.3222960502e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222960502e-03; 3.9789774825e-02; 4.7118000000e+04; 1.7585946844e-01; 1.9966666667e+00
1286853600; 0; 2.2148394241e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 2.2148394241e-05; 1.0232335915e-02; 4.7118000000e+04; 9.7517231673e-02; 1.3333333333e-02
1286853900; 0; 0.0000000000e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222222222e-03; 4.3222333705e-02; 4.7118000000e+04; 1.4982329989e-01; 1.9933333333e+00
1286854200; 0; 6.6444444444e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 1.1111111111e-05; 6.7888888889e-03; 4.7118000000e+04; 1.6661111111e-01; 6.6666666667e-03
1286854500; 0; 2.2222222222e-05; 9.1300000000e+02; 0; 8.6040000000e+03; 0.0000000000e+00; 6.6666666667e-03; 4.7118000000e+04; 7.2000000000e-03; 0.0000000000e+00
1286854800; 0; 3.3222222222e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3222222222e-03; 1.6633333333e-02; 4.7118000000e+04; 1.6613333333e-01; 9.9666666667e-01
1286855100; 0; 6.6334809893e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 6.6334809893e-03; 3.3167404946e-02; 4.7118000000e+04; 4.2107604282e-01; 2.9933333333e+00
1286855400; 0; 1.0010851972e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 1.0010851972e-02; 3.6765519617e-02; 4.7118000000e+04; 9.4631340348e-01; 3.9933333333e+00
1286855700; 0; 7.6190698415e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 9.9669996333e-03; 5.6412774957e-02; 4.7118000000e+04; 8.1109523439e-01; 4.0000000000e+00
1286856000; 0; 3.0409078619e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 7.6476701593e-02; 9.0075519358e-02; 4.7118000000e+04; 5.7017566862e-01; 4.0000000000e+00
1286856300; 0; 3.4225566704e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 3.5786324786e-03; 3.6845447789e-02; 4.7118000000e+04; 5.1019520624e-01; 1.0100000000e+00
1286856600; 0; 7.6422222222e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 9.9777777778e-03; 6.9888888889e-02; 4.7118000000e+04; 6.9272222222e-01; 3.9900000000e+00
1286856900; 0; 2.1620000000e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 2.9933333333e-02; 1.2315555556e-01; 4.7118000000e+04; 1.0122666667e+00; 6.9900000000e+00
1286857200; 0; 7.3445921004e-03; 9.1300000000e+02; 0; 8.6040000000e+03; 6.7223698782e-03; 7.6568364710e-02; 4.7118000000e+04; 5.7290158730e-01; 5.0066666667e+00
1286857500; 0; 1.3333037034e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 1.3333037034e-02; 7.3597484416e-02; 4.7118000000e+04; 1.0137537824e+00; 3.0133333333e+00
1286857800; 0; 7.9777926421e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 1.0011259755e-02; 9.9911928651e-02; 4.7118000000e+04; 9.8676685247e-01; 4.9933333333e+00
1286858100; 0; 2.7268888889e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 3.3555555556e-03; 6.3455555556e-02; 4.7118000000e+04; 1.1594222222e+00; 3.0066666667e+00
1286858400; 0; 1.0877777778e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 9.9777777778e-03; 3.6755555556e-02; 4.7118000000e+04; 5.6200000000e-01; 2.0033333333e+00
1286858700; 0; 1.0634444444e-01; 9.1300000000e+02; 0; 8.6040000000e+03; 1.3322222222e-02; 5.9922222222e-02; 4.7118996667e+04; 1.1480333333e+00; 2.9966666667e+00
1286859000; 0; 7.8075777778e+00; 9.1300000000e+02; 0; 8.6040000000e+03; 7.8537777778e+00; 3.3422222222e-02; 4.7119000000e+04; 1.2230888889e+00; 3.9966666667e+00
1286859300; 0; 3.6077777778e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 3.6233333333e-02; 5.3266666667e-02; 4.7119000000e+04; 6.7184444444e-01; 4.0000000000e+00
1286859600; 0; 1.0000000000e-02; 9.1300000000e+02; 0; 8.6040000000e+03; 6.6777777778e-03; 7.9911111111e-02; 4.7119000000e+04; 6.8328888889e-01; 3.0033333333e+00
1286859900; 0; 2.5252222222e-01; 9.1300000000e+02; 0; 8.6049966667e+03; 2.3277777778e-02; 2.9594444444e-01; 4.7119000000e+04; 1.6633888889e+00; 6.9866666667e+00
1286860200; 0; 8.0577777778e-02; 9.1300000000e+02; 0; 8.6050000000e+03; 1.5622222222e-01; 1.1394444444e-01; 4.7119000000e+04; 1.2347777778e+00; 7.0000000000e+00
1286860500; 0; 1.0233333333e-02; 9.1300000000e+02; 0; 8.6050000000e+03; 1.1347777778e-01; 5.6855555556e-02; 4.7119000000e+04; 8.5792222222e-01; 2.0166666667e+00
1286860800; 0; 1.4288888889e-01; 9.1300000000e+02; 0; 8.6050000000e+03; 2.9605555556e-01; 1.7626666667e-01; 4.7119000000e+04; 2.4712666667e+00; 1.0970000000e+01
1286861100; 0; 1.5994444444e-01; 9.1300000000e+02; 0; 8.6119766667e+03; 4.7500000000e-02; 1.6005555556e-01; 4.7119000000e+04; 2.3936111111e+00; 1.2993333333e+01
1286861400; 0; 2.2976666667e-01; 9.1300000000e+02; 0; 8.6189766667e+03; 1.3968888889e-01; 1.0020000000e-01; 4.7119000000e+04; 1.8551333333e+00; 8.0166666667e+00
1286861700; 0; 2.0342222222e-01; 9.1300000000e+02; 0; 8.6190000000e+03; 3.0366666667e-02; 1.2325555556e-01; 4.7119000000e+04; 1.4945333333e+00; 1.1986666667e+01
1286862000; 0; 2.3856072351e-02; 9.1300000000e+02; 0; 8.6190000000e+03; 2.3278294574e-02; 9.3124289406e-02; 4.7119000000e+04; 3.0082225175e+00; 7.0166666667e+00
1286862300; 0; 1.1643151591e-01; 9.1101333333e+02; 0; 8.6190000000e+03; 1.2639807109e-01; 2.0327344378e-01; 4.7119000000e+04; 4.7708132313e+00; 1.2960000000e+01
1286862600; 0; 7.3479078410e-02; 9.1299333333e+02; 1; 8.6190000000e+03; 4.3612523226e-02; 1.7675782237e-01; 4.7119000000e+04; 4.0856642512e+00; 1.2003333333e+01
1286862900; 0; 3.0588888889e-01; 9.1300000000e+02; 0; 8.6190000000e+03; 2.7921111111e-01; 2.5640000000e-01; 4.7119000000e+04; 5.1863111111e+00; 1.9973333333e+01
1286863200; 0; 8.7476666667e-01; 9.1300000000e+02; 0; 8.6190000000e+03; 2.0358888889e-01; 3.2643333333e-01; 4.7119996667e+04; 3.6185888889e+00; 2.0000000000e+01
1286863500; 0; 1.0923333333e-01; 9.1300000000e+02; 0; 8.6190000000e+03; 1.0698888889e-01; 1.4726666667e-01; 4.7120000000e+04; 3.8525333333e+00; 1.5016666667e+01
1286863800; 0; 6.6800000000e-02; 9.1300000000e+02; 0; 8.6190000000e+03; 1.2660000000e-01; 2.1311111111e-01; 4.7120996667e+04; 4.8068111111e+00; 2.1976666667e+01
1286864100; 0; 8.3277777778e-02; 9.1300000000e+02; 0; 8.6190000000e+03; 2.7284444444e-01; 2.6648888889e-01; 4.7121996667e+04; 4.5043555556e+00; 1.9010000000e+01
1286864400; 0; 9.6302141011e-02; 9.1200333333e+02; 0; 8.6190000000e+03; 9.6935474345e-02; 2.6247249908e-01; 4.7122000000e+04; 5.0678793282e+00; 2.5976666667e+01
1286864700; 0; 6.6175713063e-01; 9.1100666667e+02; 0; 8.6190000000e+03; 1.3685189095e-01; 2.5755797287e-01; 4.7122000000e+04; 5.2097627751e+00; 2.6993333333e+01
1286865000; 0; 6.0354072835e-01; 9.1100000000e+02; 0; 8.6190000000e+03; 1.6324596804e-01; 3.8291397250e-01; 4.7122000000e+04; 6.3229467856e+00; 2.7000000000e+01
1286865300; 0; 1.9388666667e+00; 9.1100000000e+02; 0; 8.6209933333e+03; 2.2313333333e-01; 3.1356666667e-01; 4.7123993333e+04; 6.2070666667e+00; 2.7000000000e+01
1286865600; 0; 2.7207333333e+00; 9.1299333333e+02; 0; 8.6210000000e+03; 2.7981111111e-01; 4.9937777778e-01; 4.7124996667e+04; 7.6086444444e+00; 3.1983333333e+01
1286865900; 0; 3.3346222222e+00; 9.1100666667e+02; 0; 8.6210000000e+03; 1.7701111111e-01; 4.7010000000e-01; 4.7125996667e+04; 6.0153444444e+00; 3.4990000000e+01
1286866200; 0; 2.0143891104e+00; 9.1100000000e+02; 0; 8.6219966667e+03; 1.0469233296e+00; 3.3599634551e-01; 4.7126996667e+04; 6.4602880399e+00; 3.0016666667e+01
1286866500; 0; 1.0665324430e+00; 9.1100000000e+02; 0; 8.6220000000e+03; 2.6280714230e-01; 3.9093263999e-01; 4.7127000000e+04; 7.6674933425e+00; 3.1986666667e+01
1286866800; 0; 7.6510653822e-01; 9.1100000000e+02; 1; 8.6220000000e+03; 5.7700459635e-01; 4.5824786942e-01; 4.7127000000e+04; 8.9194280307e+00; 4.1966666667e+01
