etime;localhost_mem_swap_4;localhost_mem_buffers_3;localhost_proc_7;localhost_processload_total_29;localhost_traffic_eth0_22;localhost_load_1min_44
1289040000; 4.0285120000e+06; 1.2709871200e+06; 2.4403000000e+02; 2.8008903298e+01; -nan 5.0448241323e+05; 3.1000000000e-02 1.3040000000e-01 1.5010000000e-01
1289040300; 4.0285120000e+06; 1.3174893067e+06; 2.3804000000e+02; 5.0138490227e+01; -nan 2.4478985101e+05; 7.9666666667e-02 2.4920000000e-01 2.0960000000e-01
1289040600; 4.0285636533e+06; 4.8918525333e+05; 2.4396000000e+02; 5.2594511111e+01; -nan 5.8782723896e+05; 1.0236666667e+00 4.6853333333e-01 2.9940000000e-01
1289040900; 4.0284885067e+06; 1.5422471467e+06; 2.3406666667e+02; 4.1794991973e+01; -nan 5.5449879335e+05; 3.6666666667e-02 3.2100000000e-01 3.0000000000e-01
1289041200; 4.0284880000e+06; 1.1268809467e+06; 2.7885000000e+02; 2.5837181006e+01; -nan 3.7959725461e+05; 6.9866666667e-02 1.9043333333e-01 2.4020000000e-01
1289041500; 4.0284880000e+06; 1.2190360267e+06; 2.4324000000e+02; 3.3620738132e+01; -nan 3.3634303626e+05; 1.3953333333e-01 1.7013333333e-01 2.3006666667e-01
1289041800; 4.0284880000e+06; 1.5633374667e+06; 2.2015333333e+02; 2.1594400000e+01; -nan 1.9649794898e+05; 1.0866666667e-02 1.1040000000e-01 1.8033333333e-01
1289042100; 4.0284880000e+06; 1.4834595733e+06; 2.3986666667e+02; 2.2539777778e+01; -nan 1.7927372931e+05; 1.9873333333e-01 1.3980000000e-01 1.7006666667e-01
1289042400; 4.0284880000e+06; 1.2431968000e+06; 2.7377333333e+02; 2.7549755556e+01; -nan 2.8428989984e+05; 1.1060000000e-01 1.4993333333e-01 1.7000000000e-01
1289042700; 4.0284880000e+06; 1.4380733067e+06; 2.5711333333e+02; 2.7205866667e+01; -nan 2.6088173362e+05; 9.0133333333e-02 1.2020000000e-01 1.5013333333e-01
1289043000; 4.0284880000e+06; 1.4979549600e+06; 2.3316000000e+02; 2.6346885098e+01; -nan 2.6163690578e+05; 1.0986666667e-01 1.2993333333e-01 1.5000000000e-01
1289043300; 4.0284880000e+06; 1.4420482933e+06; 2.4496000000e+02; 2.5769354178e+01; -nan 2.2800738758e+05; 2.2960000000e-01 1.9976666667e-01 1.7990000000e-01
1289043600; 4.0284880000e+06; 1.5275052000e+06; 2.3010000000e+02; 2.5995138501e+01; -nan 3.1845347098e+05; 2.9953333333e-01 2.0993333333e-01 1.8993333333e-01
1289043900; 4.0284880000e+06; 1.4841826133e+06; 2.4192000000e+02; 2.4658977778e+01; -nan 2.0398068278e+05; 2.1060000000e-01 1.7026666667e-01 1.7013333333e-01
1289044200; 4.0285118400e+06; 1.2260584000e+06; 2.6385333333e+02; 3.3888000000e+01; -nan 1.9220604418e+05; 7.0933333333e-02 1.7000000000e-01 1.7000000000e-01
1289044500; 4.0285120000e+06; 1.3967031200e+06; 2.4711333333e+02; 3.7906556299e+01; -nan 3.0638806176e+05; 1.6933333333e-01 2.0973333333e-01 1.7993333333e-01
1289044800; 4.0285120000e+06; 1.4516082400e+06; 2.5597000000e+02; 2.9132423768e+01; -nan 3.9116469517e+05; 3.0466666667e-02 1.6016666667e-01 1.7003333333e-01
1289045100; 4.0285199467e+06; 1.4878142133e+06; 2.4606666667e+02; 2.7924575489e+01; -nan 3.5329418685e+05; 2.0066666667e-02 1.1033333333e-01 1.5013333333e-01
1289045400; 4.0285200000e+06; 1.3149140267e+06; 2.5394666667e+02; 2.6463088889e+01; -nan 3.7699694264e+05; 4.9800000000e-02 9.0133333333e-02 1.3013333333e-01
1289045700; 4.0285200000e+06; 1.3587301333e+06; 2.3413333333e+02; 2.6327511111e+01; -nan 5.8517727242e+05; 3.0133333333e-02 1.3966666667e-01 1.4986666667e-01
1289046000; 4.0285200000e+06; 1.2997419200e+06; 2.3499333333e+02; 2.9392755556e+01; -nan 8.2865614344e+05; 1.5913333333e-01 1.5986666667e-01 1.5993333333e-01
1289046300; 4.0285200000e+06; 1.4112608800e+06; 2.4791333333e+02; 2.9165000000e+01; -nan 5.1183580844e+05; 8.0533333333e-02 1.3020000000e-01 1.5006666667e-01
1289046600; 4.0285200000e+06; 1.2601392800e+06; 2.5098000000e+02; 2.6776022222e+01; -nan 6.6158299162e+05; 1.2966666667e-01 1.3000000000e-01 1.4006666667e-01
1289046900; 4.0285200000e+06; 1.2420704267e+06; 2.4901333333e+02; 2.7541422222e+01; -nan 4.5175306918e+05; 1.7966666667e-01 1.5980000000e-01 1.4993333333e-01
1289047200; 4.0285200000e+06; 1.1447801867e+06; 2.3906666667e+02; 2.5636155556e+01; -nan 2.5040133000e+05; 1.1133333333e-02 1.1033333333e-01 1.4006666667e-01
1289047500; 4.0285319200e+06; 1.3289754133e+06; 2.9264000000e+02; 2.9474155556e+01; -nan 5.9396326942e+05; 7.9533333333e-02 1.3980000000e-01 1.4993333333e-01
1289047800; 4.0285320000e+06; 1.4323187467e+06; 2.4333333333e+02; 2.6195511111e+01; -nan 4.3030232776e+05; 8.0000000000e-02 1.4000000000e-01 1.5000000000e-01
1289048100; 4.0285320000e+06; 1.1448618400e+06; 2.4200666667e+02; 2.6838346191e+01; -nan 1.9556132478e+05; 2.7866666667e-01 1.7973333333e-01 1.6986666667e-01
1289048400; 4.0285320000e+06; 1.1029497067e+06; 2.3103666667e+02; 2.9284193639e+01; -nan 1.8607313356e+05; 2.1023333333e-01 2.1986666667e-01 1.7996666667e-01
1289048700; 4.0285320000e+06; 9.9101832000e+05; 2.7172666667e+02; 4.0180260170e+01; -nan 5.1787268956e+05; 1.9013333333e-01 2.7960000000e-01 2.1973333333e-01
1289049000; 4.0285320000e+06; 1.2393681867e+06; 2.5511333333e+02; 3.5409177778e+01; -nan 9.5304179509e+05; 2.1980000000e-01 2.3033333333e-01 2.2000000000e-01
1289049300; 4.0285320000e+06; 1.4128985867e+06; 2.3116000000e+02; 2.5231422222e+01; -nan 4.9863823600e+05; 1.5046666667e-01 1.9026666667e-01 2.0013333333e-01
1289049600; 4.0285320000e+06; 1.3993466933e+06; 2.5384666667e+02; 2.2798480193e+01; -nan 2.5190165929e+05; 6.0600000000e-02 1.5026666667e-01 1.8013333333e-01
1289049900; 4.0285320000e+06; 9.5878113333e+05; 2.3506333333e+02; 2.4661490202e+01; -nan 5.7432560161e+05; 5.4836666667e-01 2.7956666667e-01 2.0990000000e-01
