etime;jboss_16_threads;localhost_processload_jboss_27;jboss_16_vmstk;jboss_16_vmsize;jboss_16_conns;jboss_16_vmrss;jboss_16_vmswap;jboss_16_vmdata
1286865600; 3.0200000000e+02; 1.7619344444e+01; 8.6016000000e+04; 4.6975229542e+09; 0.0000000000e+00; 3.1334148915e+09; 1.5641080627e+09; 4.6329774080e+09
1286865900; 2.9901000000e+02; 1.9357400000e+01; 8.6016000000e+04; 4.6973547998e+09; 0.0000000000e+00; 3.1443108386e+09; 1.5530439612e+09; 4.6329774080e+09
1286866200; 2.9800333333e+02; 1.5812540015e+01; 8.6016000000e+04; 4.6973542400e+09; 0.0000000000e+00; 3.1049162615e+09; 1.5924379785e+09; 4.6329774080e+09
1286866500; 2.9998666667e+02; 1.7546809335e+01; 8.6016000000e+04; 4.6977651780e+09; 0.0000000000e+00; 3.0975868655e+09; 1.6001783125e+09; 4.6329774080e+09
1286866800; 3.0000000000e+02; 1.5799901629e+01; 8.6016000000e+04; 4.6974495130e+09; 0.0000000000e+00; 3.0971221606e+09; 1.6003273523e+09; 4.6329774080e+09
1286867100; 3.0496666667e+02; 1.7055081649e+01; 8.6016000000e+04; 4.6975216845e+09; 0.0000000000e+00; 3.0882876348e+09; 1.6092340497e+09; 4.6329774080e+09
1286867400; 3.0599666667e+02; 2.9285789595e+01; 8.6016000000e+04; 4.6977671168e+09; 0.0000000000e+00; 3.0866811426e+09; 1.6110859742e+09; 4.6329774080e+09
1286867700; 3.0301000000e+02; 2.3848322222e+01; 8.6016000000e+04; 4.6977679360e+09; 0.0000000000e+00; 3.0866228975e+09; 1.6111450385e+09; 4.6329774080e+09
1286868000; 3.0399666667e+02; 1.4181769989e+01; 8.6016000000e+04; 4.6977679360e+09; 0.0000000000e+00; 3.1241190741e+09; 1.5736488619e+09; 4.6329774080e+09
1286868300; 3.0499333333e+02; 3.7259614292e+01; 8.6016000000e+04; 4.6974302345e+09; 0.0000000000e+00; 3.1240491827e+09; 1.5733810517e+09; 4.6329774080e+09
1286868600; 3.0101333333e+02; 3.2197449052e+01; 8.6016000000e+04; 4.6977668028e+09; 0.0000000000e+00; 3.1242315776e+09; 1.5735352252e+09; 4.6329774080e+09
1286868900; 3.0598333333e+02; 5.6651488889e+01; 8.6016000000e+04; 4.6977679360e+09; 0.0000000000e+00; 3.1213296435e+09; 1.5764382925e+09; 4.6329774080e+09
1286869200; 3.0400666667e+02; 2.9567522222e+01; 8.6016000000e+04; 4.6977679360e+09; 0.0000000000e+00; 3.1212505361e+09; 1.5765173999e+09; 4.6329774080e+09
1286869500; 3.1097666667e+02; 1.7001854670e+01; 8.6016000000e+04; 4.6977679360e+09; 0.0000000000e+00; 3.1212176452e+09; 1.5765502908e+09; 4.6329774080e+09
1286869800; 3.0305333333e+02; 3.2829946036e+01; 8.6016000000e+04; 4.6974505779e+09; 0.0000000000e+00; 3.1207821858e+09; 1.5766683921e+09; 4.6329774080e+09
1286870100; 3.0499333333e+02; 1.8438488183e+01; 8.6016000000e+04; 4.6977668710e+09; 0.0000000000e+00; 3.1211752516e+09; 1.5765916194e+09; 4.6329774080e+09
1286870400; 3.0500000000e+02; 1.1441842636e+01; 8.6016000000e+04; 4.6977679360e+09; 0.0000000000e+00; 3.1212623053e+09; 1.5765056307e+09; 4.6329774080e+09
1286870700; 3.0996666667e+02; 7.2387550232e+00; 8.6016000000e+04; 4.6978330351e+09; 0.0000000000e+00; 3.1211812181e+09; 1.5766518170e+09; 4.6329774080e+09
